"CHNL_ID"|"CHNL_NM"|"CHNL_VAL"|"PARENT_ID"|"PARENT_NM"|"PARENT_FULL_ADDR"|"CHILD_ID"|"CHILD_NM"|"CHILD_FULL_ADDR"|"PFZ_MKT_NM"|"O_CHNL_NM_SLS"|"O_CHNL_VAL_SLS"|"O_PARENT_SLS"|"O_CHILD_SLS"|"O_CHNL_NM_GRWTH"|"O_CHNL_VAL_GRWTH"|"O_PARENT_GRWTH"|"O_CHILD_GRWTH"|"O_CHNL_NM_MKT_SHR"|"O_CHNL_VAL_MKT_SHR"|"O_PARENT_MKT_SHR"|"O_CHILD_MKT_SHR"|"O_CHNL_NM_NEW_PTNT"|"O_CHNL_VAL_NEW_PTNT"|"O_PARENT_NEW_PTNT"|"O_CHILD_NEW_PTNT"|"O_CHNL_NM_TOTAL_PTNT"|"O_CHNL_VAL_TOTAL_PTNT"|"O_PARENT_TOTAL_PTNT"|"O_CHILD_TOTAL_PTNT"|"O_CHNL_NM_NUM_HCP_TCL"|"O_CHNL_VAL_NUM_HCP_TCL"|"O_PARENT_NUM_HCP_TCL"|"O_CHILD_NUM_HCP_TCL"|"O_CHNL_NM_REACH"|"O_CHNL_VAL_REACH"|"O_PARENT_REACH"|"O_CHILD_REACH"|"O_CHNL_NM_FREQ"|"O_CHNL_VAL_FREQ"|"O_PARENT_FREQ"|"O_CHILD_FREQ"|"O_CHNL_NM_PENETRATION"|"O_CHNL_VAL_PENETRATION"|"O_PARENT_PENETRATION"|"O_CHILD_PENETRATION"|"CHNL_NM_RNK"|"CHNL_VAL_RNK"|"PARENT_RNK"|"CHILD_RNK"|"O_STD_CHNL_NM_SLS"|"O_STD_CHNL_VAL_SLS"|"O_STD_PARENT_SLS"|"O_STD_CHILD_SLS"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00489429"|"Department of Veterans Affairs"|"810 VERMONT AVE NW, WASHINGTON, DC 20420"|"INS00504358"|"Consolidated Mail Outpatient Pharmacy Hines"|"5TH AVENUE & ROOSEVELT RD, HINES, IL 60141"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 10,820,971.26"|"$ 1,939,517.09"|"75%"|"75%"|"831%"|"2,334%"|"8%"|"8%"|"39%"|"18%"|"688"|"688"|"2"|"0"|"7,673"|"7,673"|"5"|"0"|"8,809"|"8,809"|"61"|"0"|"62%"|"62%"|"25%"|"-"|"3.69"|"3.69"|"2.00"|"-"|"12%"|"12%"|"2%"|"-"|"1"|"1"|"1"|"1"|"0"|"0"|"100"|"100"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00489429"|"Department of Veterans Affairs"|"810 VERMONT AVE NW, WASHINGTON, DC 20420"|"INS00006650"|"Kansas City VA Medical Center"|"4801 E LINWOOD BLVD, KANSAS CITY, MO 64128"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 10,820,971.26"|"$ 438,715.63"|"75%"|"75%"|"831%"|"634%"|"8%"|"8%"|"39%"|"95%"|"688"|"688"|"2"|"0"|"7,673"|"7,673"|"5"|"0"|"8,809"|"8,809"|"61"|"3"|"62%"|"62%"|"25%"|"100%"|"3.69"|"3.69"|"2.00"|"3.33"|"12%"|"12%"|"2%"|"0%"|"1"|"1"|"1"|"2"|"0"|"0"|"100"|"13"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00489429"|"Department of Veterans Affairs"|"810 VERMONT AVE NW, WASHINGTON, DC 20420"|"INS00122607"|"El Paso VA Health Care System"|"5001 N PIEDRAS ST, EL PASO, TX 79930"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 10,820,971.26"|"$ 394,033.20"|"75%"|"75%"|"831%"|"1,878%"|"8%"|"8%"|"39%"|"98%"|"688"|"688"|"2"|"0"|"7,673"|"7,673"|"5"|"0"|"8,809"|"8,809"|"61"|"0"|"62%"|"62%"|"25%"|"-"|"3.69"|"3.69"|"2.00"|"-"|"12%"|"12%"|"2%"|"-"|"1"|"1"|"1"|"3"|"0"|"0"|"100"|"11"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00489429"|"Department of Veterans Affairs"|"810 VERMONT AVE NW, WASHINGTON, DC 20420"|"INS00006634"|"Captain James A Lovell Federal Health Care Center"|"3001 GREEN BAY RD, NORTH CHICAGO, IL 60064"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 10,820,971.26"|"$ 392,944.09"|"75%"|"75%"|"831%"|"886%"|"8%"|"8%"|"39%"|"85%"|"688"|"688"|"2"|"0"|"7,673"|"7,673"|"5"|"0"|"8,809"|"8,809"|"61"|"0"|"62%"|"62%"|"25%"|"-"|"3.69"|"3.69"|"2.00"|"-"|"12%"|"12%"|"2%"|"-"|"1"|"1"|"1"|"4"|"0"|"0"|"100"|"11"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00489429"|"Department of Veterans Affairs"|"810 VERMONT AVE NW, WASHINGTON, DC 20420"|"INS00006760"|"Minneapolis VA Medical Center"|"1 VETERANS DR, MINNEAPOLIS, MN 55417"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 10,820,971.26"|"$ 369,274.56"|"75%"|"75%"|"831%"|"518%"|"8%"|"8%"|"39%"|"78%"|"688"|"688"|"2"|"0"|"7,673"|"7,673"|"5"|"0"|"8,809"|"8,809"|"61"|"0"|"62%"|"62%"|"25%"|"-"|"3.69"|"3.69"|"2.00"|"-"|"12%"|"12%"|"2%"|"-"|"1"|"1"|"1"|"5"|"0"|"0"|"100"|"9"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00489429"|"Department of Veterans Affairs"|"810 VERMONT AVE NW, WASHINGTON, DC 20420"|"INS00006657"|"Audie L Murphy VA Hospital"|"7400 MERTON MINTER ST, SAN ANTONIO, TX 78229"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 10,820,971.26"|"$ 366,312.43"|"75%"|"75%"|"831%"|"513%"|"8%"|"8%"|"39%"|"66%"|"688"|"688"|"2"|"0"|"7,673"|"7,673"|"5"|"0"|"8,809"|"8,809"|"61"|"3"|"62%"|"62%"|"25%"|"0%"|"3.69"|"3.69"|"2.00"|"-"|"12%"|"12%"|"2%"|"0%"|"1"|"1"|"1"|"6"|"0"|"0"|"100"|"9"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00489429"|"Department of Veterans Affairs"|"810 VERMONT AVE NW, WASHINGTON, DC 20420"|"INS00006761"|"Saint Cloud Veterans Affairs Healthcare Systems"|"4801 VETERANS DR, SAINT CLOUD, MN 56303"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 10,820,971.26"|"$ 332,390.46"|"75%"|"75%"|"831%"|"-"|"8%"|"8%"|"39%"|"81%"|"688"|"688"|"2"|"0"|"7,673"|"7,673"|"5"|"0"|"8,809"|"8,809"|"61"|"0"|"62%"|"62%"|"25%"|"-"|"3.69"|"3.69"|"2.00"|"-"|"12%"|"12%"|"2%"|"-"|"1"|"1"|"1"|"7"|"0"|"0"|"100"|"7"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00489429"|"Department of Veterans Affairs"|"810 VERMONT AVE NW, WASHINGTON, DC 20420"|"INS00006696"|"Veterans Health Care System of the Ozarks"|"1100 N COLLEGE AVE, FAYETTEVILLE, AR 72703"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 10,820,971.26"|"$ 300,617.22"|"75%"|"75%"|"831%"|"1,409%"|"8%"|"8%"|"39%"|"66%"|"688"|"688"|"2"|"0"|"7,673"|"7,673"|"5"|"0"|"8,809"|"8,809"|"61"|"1"|"62%"|"62%"|"25%"|"0%"|"3.69"|"3.69"|"2.00"|"-"|"12%"|"12%"|"2%"|"0%"|"1"|"1"|"1"|"8"|"0"|"0"|"100"|"6"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00489429"|"Department of Veterans Affairs"|"810 VERMONT AVE NW, WASHINGTON, DC 20420"|"INS00006676"|"Indianapolis VA Medical Center"|"1481 W 10TH ST, INDIANAPOLIS, IN 46202"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 10,820,971.26"|"$ 287,708.52"|"75%"|"75%"|"831%"|"-"|"8%"|"8%"|"39%"|"75%"|"688"|"688"|"2"|"0"|"7,673"|"7,673"|"5"|"0"|"8,809"|"8,809"|"61"|"0"|"62%"|"62%"|"25%"|"-"|"3.69"|"3.69"|"2.00"|"-"|"12%"|"12%"|"2%"|"-"|"1"|"1"|"1"|"9"|"0"|"0"|"100"|"5"
"All Accounts"|"All Accounts"|"All Accounts"|"INS00489429"|"Department of Veterans Affairs"|"810 VERMONT AVE NW, WASHINGTON, DC 20420"|"INS00006765"|"Fargo VA Medical Center"|"2101 ELM ST N, FARGO, ND 58102"|"CML"|"$ 109,515,138.31"|"$ 109,515,138.31"|"$ 10,820,971.26"|"$ 282,873.12"|"75%"|"75%"|"831%"|"1,320%"|"8%"|"8%"|"39%"|"100%"|"688"|"688"|"2"|"0"|"7,673"|"7,673"|"5"|"0"|"8,809"|"8,809"|"61"|"1"|"62%"|"62%"|"25%"|"100%"|"3.69"|"3.69"|"2.00"|"1.00"|"12%"|"12%"|"2%"|"0%"|"1"|"1"|"1"|"10"|"0"|"0"|"100"|"4"
